"","Well","Sample Date","Segment_Length_ft","DepthClay","MPElev","Stickup","Top_Screen","Screen_bot","GW_Elev","GW_Depth","Water_Column","TCE_Conc","cis-1,2-DCE Conc","Vinyl Chloride Concentration (mg/L)","Benzene Conc","TCE Mass Flux","TCE and Daughter Products Molar Flux","Benzene Mass Flux","Transect","Aquifer","Type_","SampleDate","Benzene","TCE","SVE_Sytem","In_Detail_Map","RCRA_SampleTypeColor","coords.x1","coords.x2","ground_elev"
"1","SD-3",2020-08-04,64,"--",147.2,3,52.8,63.1,"88.59","55.609999999999985","--",1.15,"--","0.19",4.7,0.00363549375896608,0.000251485993385619,0.0148581049279483,"A","A","MW","8/4/2020 1:30:00 PM","4.7","1.15",NA,NA,"GREEN",11797.9701004922,11263.5001004934,144.2
"2","SD-3",2017-09-12,98.5,"--",147.2,3,52.8,63.1,"86.7","57.499999999999986","--",1.14,"--","0.05",4.38,0.00466219372536349,0.000146666514307184,0.0179126390500808,"A","A","MW","8/4/2020 1:30:00 PM","4.7","1.15",NA,NA,"GREEN",11797.9701004922,11263.5001004934,144.2
"3","SD-3",2015-03-05,64,"--",147.2,3,52.8,63.1,"87.51","56.689999999999984","--",0.98,"--","1.1000000000000001",190,0.0028929025488853,0.000658694776431695,0.560868861518579,"A","A","MW","8/4/2020 1:30:00 PM","4.7","1.15",NA,NA,"GREEN",11797.9701004922,11263.5001004934,144.2
"4","SMW-06",2017-02-23,69,NA,143.52,3,53.13,63.68,"--","--","--",1,"1","0.15",0.4,0.00318777057189014,6.5252418117966e-05,0.00127510822875606,"B","A","MW","8/3/2020 2:51:00 PM","ND(0.12)","1.33",NA,NA,NA,11808.6701004803,10883.0801004767,140.52
"5","SMW-06",2020-08-03,69,NA,143.52,3,53.13,63.68,"88.63","51.890000000000015","--",1.33,"1","0.05",0.12,0.00419239577311793,6.7380279542126e-05,0.00037826127276252,"B","A","MW","8/3/2020 2:51:00 PM","ND(0.12)","1.33",NA,NA,NA,11808.6701004803,10883.0801004767,140.52
"6","SMW-09",2017-02-23,111,NA,143.33,3,53.13,63.68,"84.88","55.450000000000017","--",1,"1.62","1.02",0.54,0.00368690714054927,0.000151016456400395,0.00199092985589661,"C","A","MW","8/3/2020 3:55:00 PM","0.821","ND(0.31)",NA,NA,"RED",11560.6701004803,10783.7501004934,140.33
"7","SMW-09",2020-08-03,73,NA,143.33,3,53.13,63.68,"87.17","53.160000000000011","--",0.31,"1.92","2.12",0.821,0.000886621903327949,0.000161765483613123,0.00234811800849112,"C","A","MW","8/3/2020 3:55:00 PM","0.821","ND(0.31)",NA,NA,"RED",11560.6701004803,10783.7501004934,140.33
"8","SMW-09",2015-12-03,111,NA,143.33,3,53.13,63.68,"85.84","54.490000000000009","--",0.24,"0.21","0.28999999999999998",0.13,0.00095189238901454,3.44941228024047e-05,0.000515608377382876,"C","A","MW","8/3/2020 3:55:00 PM","0.821","ND(0.31)",NA,NA,"RED",11560.6701004803,10783.7501004934,140.33
"9","SMW-21A",2015-03-05,112,"75",145.38,3,54.2,64.2,"86.19","56.19","18.810000000000002",0.05,"--","0.06",0.03,0.000265058729563813,0.00021145441122036,0.000159035237738288,"B","A","MW","8/3/2020 1:15:00 PM","ND(0.12)","2.08",NA,NA,"GREEN",11670.1601004899,10919.9101004899,142.38
"10","SMW-21A",2017-02-23,112,"75",145.38,3,54.2,64.2,"85.74","56.64","18.36",1.34,"1","0.15",0.4,0.00693363199172859,0.000119346585020951,0.00206974089305331,"B","A","MW","8/3/2020 1:15:00 PM","ND(0.12)","2.08",NA,NA,"GREEN",11670.1601004899,10919.9101004899,142.38
"11","SMW-21A",2020-08-03,112,"75",145.38,3,54.2,64.2,"85.72","56.66","18.340000000000003",2.08,"1.08","0.05",0.12,0.0106424814133764,0.000142928086421873,0.000613989312310178,"B","A","MW","8/3/2020 1:15:00 PM","ND(0.12)","2.08",NA,NA,"GREEN",11670.1601004899,10919.9101004899,142.38
"12","SMW-29",2017-02-23,139,"68.5",143.26,3,64.5,67.5,"84.96","55.3","13.200000000000003",1.58,"1","0.15",0.896,0.00729476167754443,0.000114948316157754,0.00413677624245557,"C","A","MW","8/4/2020 10:15:00 AM","0.596","4.04",NA,NA,"RED",11717.2201004922,10751.5001004934,140.26
"13","SMW-29",2020-08-04,139,"68.5",143.26,3,64.5,67.5,"87.33","52.929999999999993","15.570000000000007",4.04,"1.19","0.05",0.596,0.0220013873633603,0.000239847686507121,0.00324574922489176,"C","A","MW","8/4/2020 10:15:00 AM","0.596","4.04",NA,NA,"RED",11717.2201004922,10751.5001004934,140.26
